Country,Region,Population,Area (sq. mi.),Net migration,GDP ($ per capita),Literacy (%)
"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,11300,"1,57",1700,"40,1"
Gaza Strip ,NEAR EAST                          ,1428757,360,"1,6",600,
Georgia ,C.W. OF IND. STATES ,4661473,69700,"-4,7",2500,"99,0"
Germany ,WESTERN EUROPE                     ,82422299,357021,"2,18",27600,"99,0"
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,"-0,64",2200,"74,8"
Gibraltar ,WESTERN EUROPE                     ,27928,7,0,17500,
Greece ,WESTERN EUROPE                     ,10688058,131940,"2,35",20000,"97,5"
Greenland ,NORTHERN AMERICA                   ,56361,2166086,"-8,37",20000,
Grenada ,LATIN AMER. & CARIB    ,89703,344,"-13,92",5000,"98,0"
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,"-0,15",8000,"90,0"
Guam ,OCEANIA                            ,171019,541,0,21000,"99,0"
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,"-1,67",4100,"70,6"
Guernsey ,WESTERN EUROPE                     ,65409,78,"3,84",20000,
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857,"-3,06",2100,"35,9"
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,"-1,57",800,"42,4"
Guyana ,LATIN AMER. & CARIB    ,767245,214970,"-2,07",4000,"98,8"
Haiti ,LATIN AMER. & CARIB    ,8308504,27750,"-3,4",1600,"52,9"
Honduras ,LATIN AMER. & CARIB    ,7326496,112090,"-1,99",2600,"76,2"
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,"5,24",28800,"93,5"
Hungary ,EASTERN EUROPE                     ,9981334,93030,"0,86",13900,"99,4"
Iceland ,WESTERN EUROPE                     ,299388,103000,"2,38",30900,"99,9"
India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,"-0,07",2900,"59,5"
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,0,3200,"87,9"
